uuid,filename,barcode,barcode2,md5,sample_type,experimental_strategy,workflow_type,data_type
32863c67-8bef-4365-8d70-43ffb2fbee23,TCGA-LGG.851f8c91-5a12-48d0-816f-b2ffc749666f.gene_level_copy_number.v36.tsv,TCGA-HT-8563-01A-11D-2391-01,TCGA-HT-8563-10A-01D-2392-01,a5e88b2b295028bb5d2b3e4590b9b6f1,Primary Tumor,Genotyping Array,ASCAT2,Gene Level Copy Number
38d3dff5-504a-4b7b-b687-5f7c66db9503,TCGA-LGG.827e1f28-7d8d-4ecd-9fea-1ea786c4d1f3.gene_level_copy_number.v36.tsv,TCGA-HT-7693-01A-11D-2252-01,TCGA-HT-7693-10A-01D-2252-01,fbc3218dedd035b8b970fe2643784221,Primary Tumor,Genotyping Array,ASCAT2,Gene Level Copy Number
bd678725-4a7d-4608-bcd8-463c62e2d6c5,TCGA-LGG.3b24b570-949a-43de-afb2-48f4f11339b6.gene_level_copy_number.v36.tsv,TCGA-P5-A77X-01A-11D-A32A-01,TCGA-P5-A77X-10A-01D-A328-01,ea7c459a4db0346bb182024661824a25,Blood Derived Normal,Genotyping Array,ASCAT2,Gene Level Copy Number
894bbb51-56a8-409b-91da-75d91ad0b1a6,TCGA-LGG.47bb2a58-d7cc-47cd-a153-f8875dc95da7.gene_level_copy_number.v36.tsv,TCGA-S9-A6WE-01A-12D-A33S-01,TCGA-S9-A6WE-10A-01D-A33V-01,c37faf2b48e2f15a3434077beb1d17f2,Blood Derived Normal,Genotyping Array,ASCAT2,Gene Level Copy Number
07902d0d-b150-4f24-bc68-b99864d0409d,TCGA-LGG.dd49debe-383b-4f98-8b68-4851f382c3a0.gene_level_copy_number.v36.tsv,TCGA-FG-5965-02A-11D-A323-01,TCGA-FG-5965-10A-01D-1892-01,25f4ca7c1cfa94f80b4fd7c4d03cdd0e,Blood Derived Normal,Genotyping Array,ASCAT2,Gene Level Copy Number
c4d8b6ad-8351-4b4e-aaf6-97f6351fd017,TCGA-LGG.f5436e56-1aec-4f58-8bad-26b4914fe5bf.gene_level_copy_number.v36.tsv,TCGA-TM-A7CF-02A-11D-A32A-01,TCGA-TM-A7CF-10A-01D-A328-01,5491d7db1d0b0a1ca6c17dae2d917515,Recurrent Tumor,Genotyping Array,ASCAT2,Gene Level Copy Number
5ad904e7-333a-42ec-9cbf-bde3545902a6,TCGA-LGG.968d8c23-5075-401b-88a4-9ce2db22122b.gene_level_copy_number.v36.tsv,TCGA-FN-7833-01A-11D-2085-01,TCGA-FN-7833-10A-01D-2085-01,b0a847cf4e8f85bff225d7e0d5508682,Blood Derived Normal,Genotyping Array,ASCAT2,Gene Level Copy Number
7bafbed9-b396-4b1d-9dcc-38e5574161e3,TCGA-LGG.9bce23b8-df89-49bd-bf15-3a86635722d3.gene_level_copy_number.v36.tsv,TCGA-DU-7013-01A-11D-2023-01,TCGA-DU-7013-10A-01D-2023-01,68f99e3d79b1d4ec62c2884746ee7162,Primary Tumor,Genotyping Array,ASCAT2,Gene Level Copy Number
fa758063-ada9-4f1f-8be4-87116a70397a,TCGA-LGG.16595244-75db-458e-9e66-b49083522159.gene_level_copy_number.v36.tsv,TCGA-HT-A5R7-01A-11D-A288-01,TCGA-HT-A5R7-10A-01D-A288-01,924da9496044df338b2dd7ab17ee4ff7,Primary Tumor,Genotyping Array,ASCAT2,Gene Level Copy Number
bee91428-8ddc-4443-8659-b9fdb8b2ec51,TCGA-LGG.e03a4dc0-8146-4d67-b3b1-e20b6b742fbd.gene_level_copy_number.v36.tsv,TCGA-DB-5273-01A-01D-1466-01,TCGA-DB-5273-10A-01D-1466-01,8fd0bd067e58194b80c254be67c6d102,Blood Derived Normal,Genotyping Array,ASCAT2,Gene Level Copy Number
e3fe5afe-6614-4fab-b2c3-5b48d10c2c6e,TCGA-LGG.b5317b78-5f8e-4c7c-8e22-76a52379dccd.gene_level_copy_number.v36.tsv,TCGA-DU-A7TJ-01A-11D-A34I-01,TCGA-DU-A7TJ-10A-01D-A34L-01,c1ff3686dab504d1efbb1417890c665d,Primary Tumor,Genotyping Array,ASCAT2,Gene Level Copy Number
f172db8e-4d6d-4c1a-9cea-8453c97eaf24,TCGA-LGG.33c14457-aee0-42f4-8560-db93af55d878.gene_level_copy_number.v36.tsv,TCGA-FG-5965-02B-11D-A323-01,TCGA-FG-5965-10A-01D-1892-01,bbdcdeeb235273a626bd94071092eb9c,Blood Derived Normal,Genotyping Array,ASCAT2,Gene Level Copy Number
2143b3c6-b98f-457f-b6f4-a37233785b7b,TCGA-LGG.043ea226-d446-4d46-a096-a9c49cd331a9.gene_level_copy_number.v36.tsv,TCGA-FG-8181-01A-11D-2252-01,TCGA-FG-8181-10A-01D-2252-01,963b0b11f3d0304356e4db8ef65fa97f,Blood Derived Normal,Genotyping Array,ASCAT2,Gene Level Copy Number
9a851fec-9f73-4012-b2ae-a0dea239bf3a,TCGA-LGG.f103dcd7-3cf5-4fe2-aa82-ee3801e9cdd6.gene_level_copy_number.v36.tsv,TCGA-HT-8109-01A-11D-2391-01,TCGA-HT-8109-10A-01D-2392-01,4bd139faed96a997631d01c6a06b463d,Primary Tumor,Genotyping Array,ASCAT2,Gene Level Copy Number
45c3ddb0-e652-4b0d-b7ce-e8509ca7cecb,TCGA-LGG.5c9d3e35-cb73-4217-a929-4ec33a2112ab.gene_level_copy_number.v36.tsv,TCGA-R8-A6MK-01A-11D-A32A-01,TCGA-R8-A6MK-10A-01D-A328-01,9ff709f0add3abde92b3038c9d62e5f0,Blood Derived Normal,Genotyping Array,ASCAT2,Gene Level Copy Number
69d7f5fa-6618-4a21-b4f8-a0d1335af987,TCGA-LGG.55c84cea-675a-4ba4-b598-0043cbf32720.gene_level_copy_number.v36.tsv,TCGA-HT-7689-01A-11D-2252-01,TCGA-HT-7689-10A-01D-2252-01,7c3a1eaadaf6783d0fda3c1e79b24ed9,Blood Derived Normal,Genotyping Array,ASCAT2,Gene Level Copy Number
767f530f-6298-4a42-b616-3ea0550f21a9,TCGA-LGG.788f0ee8-1fe7-415a-94e9-38b4f7130ae0.gene_level_copy_number.v36.tsv,TCGA-CS-6668-01A-11D-1892-01,TCGA-CS-6668-10A-01D-1892-01,ea6c6624f1099f7106d5370858fdce26,Blood Derived Normal,Genotyping Array,ASCAT2,Gene Level Copy Number
86744949-3cdb-42fd-8049-2372cdb330ec,TCGA-LGG.2a77d937-8a1a-4174-b04a-61d74eabcafe.gene_level_copy_number.v36.tsv,TCGA-P5-A780-01A-12D-A32A-01,TCGA-P5-A780-10A-01D-A328-01,8853dc8fd3083b5cbc9e6348578c47a1,Blood Derived Normal,Genotyping Array,ASCAT2,Gene Level Copy Number
595ae550-bc4e-481e-8e74-f16e6120abee,TCGA-LGG.26955863-c8fe-4bb4-910a-50d5cc6f2fd4.gene_level_copy_number.v36.tsv,TCGA-E1-A7YS-01A-11D-A349-01,TCGA-E1-A7YS-10A-01D-A349-01,d9a1a0efcdfcda4158cf85b38bcab975,Blood Derived Normal,Genotyping Array,ASCAT2,Gene Level Copy Number
97e221a4-ac14-4e05-9621-9a383e657019,TCGA-LGG.de0b5766-181e-4651-8efc-08c4ee0d6910.gene_level_copy_number.v36.tsv,TCGA-QH-A6X9-01A-12D-A32A-01,TCGA-QH-A6X9-10B-01D-A328-01,e1db379fb2a2e42d3b2a53ec60c30352,Primary Tumor,Genotyping Array,ASCAT2,Gene Level Copy Number
cb08c888-0db5-4b43-8ca7-62f123f011b6,TCGA-LGG.04084457-a1e7-4873-a8cd-f80686b43050.gene_level_copy_number.v36.tsv,TCGA-W9-A837-01A-11D-A36N-01,TCGA-W9-A837-10A-01D-A366-01,51e2cc79fb4088b14903064715c67ae5,Primary Tumor,Genotyping Array,ASCAT2,Gene Level Copy Number
1afcf19a-047b-4891-b3a6-c545d187d69c,TCGA-LGG.db73c1c1-1ba2-4494-986b-e2b674911252.gene_level_copy_number.v36.tsv,TCGA-FG-8182-01A-11D-2252-01,TCGA-FG-8182-10A-01D-2252-01,4902931a3ab33e576182eb01051c7854,Primary Tumor,Genotyping Array,ASCAT2,Gene Level Copy Number
