uuid,filename,barcode,barcode2,md5,sample_type,experimental_strategy,workflow_type,data_type
218acc3a-e0fd-4cd2-85d8-5971c25b7bae,6519d387-d399-41b2-a1d5-7f1b05bd437b.mirbase21.isoforms.quantification.txt,TCGA-HT-8563-01A-11R-2401-13,,4d4a4750c8f7d70bd8b2e455421dbb95,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
df64f5c7-21dc-4fcd-9fa3-641eeab6d606,9db6ba6d-0b90-49d4-b836-f21605ff5033.mirbase21.isoforms.quantification.txt,TCGA-DB-5273-01A-01R-1469-13,,85c61711dd109c7552936075ea6c18a9,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
67b00815-9026-434a-8d95-3d7cb4497cca,06f25160-66ea-46cc-8f94-12f3994cb97a.mirbase21.isoforms.quantification.txt,TCGA-DB-A4XH-01A-11R-A27U-13,,90ab00469e0f1eb1b65ecda05d874521,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
608198f4-8279-41c3-9865-9c9aedf1406f,0626f7ce-71b2-4a90-94dc-a74f8061cc9d.mirbase21.isoforms.quantification.txt,TCGA-DB-A64P-01A-11R-A29V-13,,7d45e3a170c5b6fe2cf525ea85823cc6,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
d9e7075f-4303-499c-9a13-ac7bf7119b8d,d53e9330-4816-4a06-b584-76254d7dbc48.mirbase21.isoforms.quantification.txt,TCGA-HT-7693-01A-11R-2255-13,,5dcbb6cb2e6a27b67e83a2ba1f9b31fd,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
29de6b2f-2357-43c3-a69f-5df274f9fdfb,afbd1bf2-8abc-4dc1-9516-ffbd657a57ba.mirbase21.isoforms.quantification.txt,TCGA-P5-A77X-01A-11R-A32L-13,,939be732621a6abdce4dc3217f2fae0f,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
997e2027-4a3d-4cd2-a1fc-30297bcc6e31,b054c0b0-cfbb-4dc6-b452-6c35b9af0f04.mirbase21.isoforms.quantification.txt,TCGA-S9-A6WE-01A-12R-A342-13,,bc9420dc0fd67b6364cb13c6efb65f74,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
2faf98ad-2157-4075-9b7e-48dd9b950102,acd98735-1245-44db-8ba5-7680bc033d86.mirbase21.isoforms.quantification.txt,TCGA-DU-7298-01A-11R-2026-13,,918437011189f420af9c4146265148aa,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
afa3109e-0ff5-4e51-9d24-cf7fe300fef0,83039e5d-3a4e-4305-bd07-4b872f7770d6.mirbase21.isoforms.quantification.txt,TCGA-TM-A7CF-01A-11R-A360-13,,f59ead38f40c410035f67140529f392a,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
ba352795-d755-48cb-b870-662cb957986a,2a03eefd-b533-420a-8b27-7e69b360bcdc.mirbase21.isoforms.quantification.txt,TCGA-DU-A7TJ-01A-11R-A34O-13,,36817a75c17cdf1f9a2faaf2b687e52b,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
81f65089-467c-4741-b7b4-0b1c21de48e2,577cb5a7-6def-416d-9c9b-f7474ecd5cfd.mirbase21.isoforms.quantification.txt,TCGA-FG-A713-01A-11R-A360-13,,c6f2eac5d6651f6607aac62ab82774c8,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
067183eb-cf88-4450-81be-a55b4b2f5099,b67abee4-547f-4b4c-b894-05f6ddc6df6c.mirbase21.isoforms.quantification.txt,TCGA-FG-5965-02A-11R-A29V-13,,ee68c53c1a27cef84816d1b9a5c5fbec,Recurrent Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
168d6567-f664-44f9-a778-b758487b3171,c807eefe-3905-4cf5-94a4-d85f638e687a.mirbase21.isoforms.quantification.txt,TCGA-FG-5965-01B-11R-1895-13,,d14770af722fe1dc37d6ea3433bf64c8,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
3a769abd-6854-4f55-8b2a-342971ce5444,48709901-6b50-4ce0-8460-f76eae286d1d.mirbase21.isoforms.quantification.txt,TCGA-DU-8168-01A-11R-2255-13,,3c919dd0c34b11a3c99addc879bf75f4,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
dc450010-2c1a-4d80-aafb-de8e8298077b,45738174-fc13-41ee-861d-8866ec437807.mirbase21.isoforms.quantification.txt,TCGA-HT-7603-01A-21R-2089-13,,7acdf1ee6722b370d76476f9f029d2ec,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
51403aec-8a46-4aea-b4fb-ad2942fdc8e2,7d2a1b92-74a7-4863-8801-40e698302956.mirbase21.isoforms.quantification.txt,TCGA-HT-7686-01A-11R-2255-13,,fa7299c5903d5d491258651eaec49872,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
282ece6f-d15f-4294-8c0c-b8ed1f2205a3,3a81c4ed-6830-4ed1-a5cc-d985a97a9a56.mirbase21.isoforms.quantification.txt,TCGA-DU-6542-01A-11R-1895-13,,21c18e27e815cb931e45ec2afe48f237,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
6b40da8b-46d4-44ef-96a5-77f88766de68,15ed66be-3b50-4ddb-91ac-35cef46cac5e.mirbase21.isoforms.quantification.txt,TCGA-FN-7833-01A-11R-2089-13,,8e16e71ba198c1302de7915137124e2e,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
c972ffc1-f4dc-4c39-9e88-713b34a8381d,a7115fd0-2723-44f6-8c96-f10eeb7305c8.mirbase21.isoforms.quantification.txt,TCGA-HW-8321-01A-11R-2401-13,,e55104d1bed7e82f6fee99f212014696,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
450f5106-5000-4a26-b6a5-d8ae2b01da68,c3031062-20ee-43b5-ae54-75fed279e0e4.mirbase21.isoforms.quantification.txt,TCGA-HT-A5R7-01A-11R-A28I-13,,9fce41486a0c97bd83ac616732862672,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
a8b6134f-9df5-427e-8bb7-4e2eecec6325,6cb83d4c-f14a-4d5b-b814-04d8094b393c.mirbase21.isoforms.quantification.txt,TCGA-HT-7689-01A-11R-2255-13,,e648ebc0264cc24e683f9b50eedc7358,Primary Tumor,miRNA-Seq,BCGSC miRNA Profiling,Isoform Expression Quantification
