uuid,filename,barcode,barcode2,md5,sample_type,experimental_strategy,workflow_type,data_type
94ed30cb-750d-4053-8a68-86159fbc97ac,915fa984-e320-4db8-85e8-1ed98435ec16.rna_seq.augmented_star_gene_counts.tsv,TCGA-E1-5319-01A-01R-1896-07,,0d7a7684a6736b6f5b55f9d8766f0404,Primary Tumor,RNA-Seq,STAR - Counts,Gene Expression Quantification
42363eec-ca19-444b-9f45-de3d0fd9e848,255c03a0-f4ce-4822-b3a1-b1b4da17cc2e.rna_seq.augmented_star_gene_counts.tsv,TCGA-HT-8563-01A-11R-2404-07,,1ffea83a029810392b759f7999596521,Primary Tumor,RNA-Seq,STAR - Counts,Gene Expression Quantification
e2dad1ec-1a90-4ab5-bb54-9d4fa0c62524,3c09ed01-2abe-4800-b537-2f65ad3206b4.rna_seq.augmented_star_gene_counts.tsv,TCGA-DB-5273-01A-01R-1470-07,,f4c3938368ac167526597ed2a791375c,Primary Tumor,RNA-Seq,STAR - Counts,Gene Expression Quantification
d6d2876d-9624-4f5f-9a5a-366cbc5889d1,61aa6c78-d34b-4da0-a9d6-e02cf46cdfd1.rna_seq.augmented_star_gene_counts.tsv,TCGA-DB-A4XH-01A-11R-A27Q-07,,6f67cc7b36eaf625c5ec4ee8b9dfd631,Primary Tumor,RNA-Seq,STAR - Counts,Gene Expression Quantification
9eac3510-fd52-472d-b926-39c7a9d23fa2,876a1b2f-d990-4fcd-a93f-f4ecc6e8e102.rna_seq.augmented_star_gene_counts.tsv,TCGA-S9-A6WE-01A-12R-A33Z-07,,f05fd83b4e631681d3666818a200917e,Primary Tumor,RNA-Seq,STAR - Counts,Gene Expression Quantification
e2e15f7f-d848-4d82-a21b-292a98549de7,ca4519e9-b8b0-415b-a743-7ad938e3e474.rna_seq.augmented_star_gene_counts.tsv,TCGA-DU-8168-01A-11R-2256-07,,8a02400588bc84679e7cc8ece37b1a81,Primary Tumor,RNA-Seq,STAR - Counts,Gene Expression Quantification
1f5ce994-2dc1-4924-89f9-f6e92e78d5d4,64370d1e-6575-42ea-a00d-e920553ea6c2.rna_seq.augmented_star_gene_counts.tsv,TCGA-DH-5141-01A-01R-1470-07,,1b0115ff5393a34af87588eaaf9009c4,Primary Tumor,RNA-Seq,STAR - Counts,Gene Expression Quantification
6cd83368-4978-4ef4-a1b8-f2d8f9cf9d7e,687293b9-b030-4909-a076-435efff554d1.rna_seq.augmented_star_gene_counts.tsv,TCGA-DH-A66B-01A-11R-A29R-07,,67b4a0c5b529ca1e3167e960c95b007e,Primary Tumor,RNA-Seq,STAR - Counts,Gene Expression Quantification
94781f52-8bf3-4376-88f0-2a79d3f2c677,02df0b55-e0cf-4b80-b980-446c78e7e50e.rna_seq.augmented_star_gene_counts.tsv,TCGA-FN-7833-01A-11R-2090-07,,2e634b2e76a834dea3c555c5ab75ab2a,Primary Tumor,RNA-Seq,STAR - Counts,Gene Expression Quantification
42d79bcd-223d-47b8-a4bf-8440533452c1,8df0b8f0-7531-4a00-9802-d6a07d234c58.rna_seq.augmented_star_gene_counts.tsv,TCGA-HT-7686-01A-11R-2256-07,,9dd7a34f08725194056bc1f95ab2fae2,Primary Tumor,RNA-Seq,STAR - Counts,Gene Expression Quantification
