uuid,filename,barcode,barcode2,md5,sample_type,experimental_strategy,workflow_type,data_type
98049da2-44b9-4751-bfc6-8734cb412b6b,be86e55e-3899-4101-b6e2-7bd8b5b19f3e.methylation_array.sesame.level3betas.txt,TCGA-TM-A7CA-01A-21D-A33U-05,,2c201f1f748118399c47a037b341a40b,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
5a83028b-a38d-4872-aa55-e35168650182,bc059e0d-2858-44ef-968c-6ba717f736be.methylation_array.sesame.level3betas.txt,TCGA-S9-A6TZ-01A-21D-A32C-05,,8f4282039ccbeedf905fa8de4422a2e2,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
b79abc5b-59b0-4b28-b842-69f87a49b995,3e9c7387-1c32-473c-92ed-5640907d0aea.methylation_array.sesame.level3betas.txt,TCGA-E1-A7YY-01A-11D-A34K-05,,5b34ed89cea02219438923bc3c3fcaa3,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
25bc20c8-d619-42a6-a3da-3f33e62e8614,f3246d0c-93d1-40c9-af60-f7ef9de842b3.methylation_array.sesame.level3betas.txt,TCGA-DU-6397-01A-11D-1706-05,,b6dc6ac3e3f0a94ffcd74d734e7df19e,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
d0e9a278-eb72-4659-9007-ad8d131d8475,b9fc29f2-434e-4db9-9014-a3b92d7e0ab4.methylation_array.sesame.level3betas.txt,TCGA-DU-8158-01A-11D-2254-05,,1dbd21d0e1842f2a3959563253bca8d9,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
938ebe53-c940-4f21-bbda-0db2aa940b19,8dddcf95-d47a-4f26-9518-a15fb260ee3b.methylation_array.sesame.level3betas.txt,TCGA-HT-7689-01A-11D-2254-05,,5069804a79cdcc76f928afcc09cf498d,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
7c6c2725-5660-473b-bd81-8659d8c68ef6,517dc571-e575-4579-a2de-75de99bd2f4e.methylation_array.sesame.level3betas.txt,TCGA-HT-8011-01A-11D-2399-05,,0e23dc72ab53af964e4cbaa3baa1fc6f,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
1a5eb7e7-75b1-436f-8a0f-91ff0b9ef75b,8bfaa5dc-3846-4fa6-a45d-9d3ade7cd5b6.methylation_array.sesame.level3betas.txt,TCGA-CS-5396-01A-02D-1467-05,,e282b0889eebca035f79b470ac5807e7,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
d1246035-7b5e-474f-bedb-bb47b20f2593,8d7ddf6b-9375-4090-b274-08bcc875e4a4.methylation_array.sesame.level3betas.txt,TCGA-WY-A85E-01A-11D-A368-05,,8289f4df514ee909f204d74a95a729ef,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
e6002eff-0b29-4e02-8177-44f7ab7a0006,f4886374-8434-4771-87fb-5152d8006955.methylation_array.sesame.level3betas.txt,TCGA-DU-8164-01A-11D-2254-05,,8a0cf1253d107145b7bccafe450901b3,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
b4f023ae-a1c1-40d8-84c5-4a3678bb4c06,6d7971d0-7690-44b3-94de-fd7dce40c50d.methylation_array.sesame.level3betas.txt,TCGA-E1-A7Z6-01A-11D-A34K-05,,c4f233dfb6128eec9be531c8c8323f30,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
a35fa433-ac22-44f3-af11-c6a05d08e740,af56c9f9-9698-47de-9e1d-71f15a30127f.methylation_array.sesame.level3betas.txt,TCGA-HT-7676-01A-11D-2399-05,,c46e4a63ad8d3af5b7eefee31412bb98,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
aa8a0349-7fd6-48ad-9ee0-fb6fc952a615,175bb675-4d97-45a8-9d08-2cfa120edc75.methylation_array.sesame.level3betas.txt,TCGA-HT-A4DS-01A-11D-A26N-05,,901114235b20ae6015168a343a30605f,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
2ac89f51-a82f-4581-ba23-84be0e713b6c,dada52fc-e355-49aa-8ee8-c6364eccc75e.methylation_array.sesame.level3betas.txt,TCGA-CS-4943-01A-01D-1467-05,,a7f391d01ffc1f762992055b5818ca29,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
5f3aacbd-1020-4b80-af80-4970d4ca4519,44244695-9242-4e47-b4aa-66e742e6ea4f.methylation_array.sesame.level3betas.txt,TCGA-CS-6665-01A-11D-1894-05,,57f169c67f965931399ed426b9db7edb,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
10b893b8-ad77-4e0b-ac55-2223c4238471,1ce6427a-b941-4b71-be8e-9f2498e3f653.methylation_array.sesame.level3betas.txt,TCGA-VM-A8C8-01A-11D-A368-05,,de8022fb479191e5b5f7a73b9934f64b,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
b42bb5ce-5756-4b65-92c5-7b7ada7732c6,e2f87c00-9a74-4f37-bd63-d5beb5e5e52e.methylation_array.sesame.level3betas.txt,TCGA-DH-A7UV-01A-12D-A34D-05,,884418880a9330f2a51a31b50f66f1df,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
eb87af0a-4b4f-436b-b238-fdc0acb15531,1e8788fc-c765-43f9-80ac-20e06ba237f4.methylation_array.sesame.level3betas.txt,TCGA-HT-7603-01A-21D-2087-05,,6c25702fc3a68b0d788789839217b350,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
19311634-33dd-49f2-a942-4cc1d3ce7949,f7df669a-5ebe-4238-b87b-c86bdde6399e.methylation_array.sesame.level3betas.txt,TCGA-S9-A7QW-01A-11D-A34D-05,,ca5d4e7fac5fce2f8826da5c4dc43cd5,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
52b87dc1-7a42-45f1-bdeb-521603bf9a4d,81568e7e-255b-48cb-a079-3abf2b96e8b7.methylation_array.sesame.level3betas.txt,TCGA-TQ-A7RN-01A-11D-A33U-05,,6064a654457ef710150ac9f152f59cf3,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
4d150098-bc3c-4631-916b-264797fcaf7e,987e3c33-4767-43e0-95d8-a17ac915a2ec.methylation_array.sesame.level3betas.txt,TCGA-VW-A8FI-01A-11D-A368-05,,0e58215780e7083c0f3b4aaed47ed65f,Primary Tumor,Methylation Array,SeSAMe Methylation Beta Estimation,Methylation Beta Value
